A,B,C,D,E
0.990898435,0.681909342,0.048757141,0.095885149,0.598110348
0.873625447,0.243985247,0.77294226,0.313699151,0.981793123
0.201808307,0.157268518,0.724535235,0.370373347,0.099149053
0.726931197,0.473469908,0.971250594,0.725775212,0.17517174
0.458445009,0.207788929,0.871420044,0.99862372,0.941700778
0.727977997,0.992361958,0.018995295,0.136203989,0.139312527
0.219037397,0.969357044,0.482287686,0.261181153,0.354343025
0.686560829,0.122991465,0.326465551,0.50956615,0.414298902
0.737071133,0.45097804,0.663797231,0.434528724,0.438563947
0.149824161,0.435695983,0.051456297,0.845029233,0.04131602
0.110117636,0.110395017,0.893883009,0.767548631,0.67296367
0.191962428,0.717287005,0.661632971,0.60964322,0.951918149
0.445140086,0.124271748,0.599892104,0.14280533,0.466236137
0.798013572,0.103344189,0.976663794,0.43751365,0.894321725
0.26255986,0.471665164,0.211540676,0.090648808,0.919502266
0.393835573,0.332413458,0.848007572,0.061097897,0.745911944
0.300124201,0.974267911,0.009985965,0.192608252,0.993152787
0.059033627,0.201371641,0.094970035,0.322444662,0.674813003
0.880125743,0.01274295,0.777069393,0.791554378,0.02983194
0.66155244,0.44756451,0.593523556,0.208585185,0.607220575
0.469406002,0.563008743,0.060140539,0.267496225,0.081301628
0.676818853,0.231848699,0.853215494,0.943242482,0.573589272
0.707890302,0.948660194,0.951595591,0.799236783,0.042791522
0.065920801,0.689064781,0.292721173,0.162914819,0.345090909
0.964669197,0.529256166,0.014037532,0.11361907,0.398397009
0.760272118,0.449799636,0.087649432,0.762220714,0.673508372
0.887398992,0.396299264,0.811812812,0.301484722,0.422705677
0.689690509,0.969112549,0.215877348,0.585835215,0.059327542
0.168367215,0.816405867,0.250975663,0.566839701,0.985539094
